ticker,1w_return_pct,1m_return_pct,3m_return_pct,6m_return_pct
NVDA,-7.0485,0.9824,5.3464,40.3970
AAPL,-1.0801,5.7427,15.7089,32.1595
MSFT,-0.0198,-1.4954,-0.5960,11.9676
GOOGL,-2.0097,12.2266,41.1540,69.0014
AMZN,-7.0411,8.3881,1.2719,14.8121
AVGO,-4.9081,-2.4418,15.7587,48.9520
META,-5.3058,-16.5541,-20.3380,-5.7271
TSLA,-8.7303,-7.5004,23.3974,21.4392
TSM,-4.8363,-4.7750,21.1330,47.5319
BRK.B,1.6922,2.6339,4.1376,-0.3234
LLY,6.1776,27.8421,45.9529,41.8869
WMT,0.4833,-4.4695,1.6043,6.9744
JPM,-5.7496,0.3730,3.2554,15.5256
V,-2.3813,-4.3914,-4.5478,-8.6097
ORCL,-10.1462,-25.7166,-7.6078,38.2053
XOM,0.2774,5.6200,10.3592,15.4264
MA,-2.7416,-4.1303,-8.0272,-5.3203
JNJ,5.8755,3.2398,13.0170,32.3064
NFLX,-1.9347,-8.4178,-9.5334,-8.0552
ABBV,6.9041,1.8469,14.2129,30.6543
COST,-0.2239,-2.2991,-6.7337,-10.6535
PLTR,-13.0572,-5.5122,6.7068,39.6003
ASML,-2.7205,-1.6465,36.1363,37.6739
AMD,-2.3363,2.2310,43.0681,112.6361
BAC,-3.3227,0.7118,8.0122,20.7822
HD,-3.1355,-8.4422,-11.3825,-2.0890
BABA,-4.9641,-5.6241,31.3901,29.7190
PG,0.3918,-2.8458,-7.1392,-10.4773
GE,-4.0841,-0.3132,12.6483,28.4590
CVX,-0.4915,1.1791,1.8980,15.5276
CSCO,7.8374,10.8513,17.1501,24.4932
KO,0.9501,4.0181,2.2900,0.5512
UNH,-0.0031,-9.8233,6.3630,7.5635
SAP,-5.5887,-12.9022,-13.3246,-20.3478
IBM,-3.7371,6.3774,24.0129,15.4757
AZN,2.1719,5.5378,12.3711,29.1641
MU,-4.5519,19.4634,98.2150,152.6598
TM,-2.6756,0.3303,-0.0587,7.5966
WFC,-3.8340,-0.0550,7.3574,14.3916
CAT,-3.5894,4.7168,32.6495,61.7363
NVS,3.8954,0.5516,5.7663,17.1795
MS,-3.4171,1.0780,11.3212,28.8864
HSBC,-1.2632,8.7570,12.1982,21.6313
TMUS,5.4646,-5.3242,-15.6203,-9.1670
GS,-3.0043,2.9942,7.7642,31.6456
PM,-1.6767,-3.5366,-8.8092,-11.2108
AXP,-7.0390,-1.3372,12.0064,20.1808
RTX,-2.0722,10.9972,14.0961,31.1522
MRK,7.4352,9.9186,10.8214,23.4905
ABT,4.2100,2.0616,0.3988,-0.5149
CRM,-2.1203,-2.6720,-3.6598,-15.9087
MCD,2.0963,-0.8829,-1.2306,-2.4000
SHEL,-0.8148,4.6097,6.2787,15.5698
NVO,5.6269,-10.7504,-11.4184,-28.8490
TMO,-0.9126,5.9694,14.7129,43.6665
RY,-0.0374,0.7168,7.7135,17.6951
PEP,3.7512,-3.7343,-1.8024,16.0638
LIN,-0.4053,-7.0804,-12.4226,-7.4332
ISRG,-5.0642,22.6145,14.1528,-0.0091
UBER,-2.9968,-1.1051,-4.2384,2.9435
DIS,-5.9293,-4.5947,-9.1898,-4.0057
LRCX,-11.6067,3.9220,46.8657,78.4238
AMGN,5.5892,14.3703,16.5699,26.9707
PDD,-6.3491,0.6849,8.6420,11.3253
SHOP,-12.2734,-11.6506,0.0934,36.2197
T,2.9400,-2.9613,-10.8517,-5.0116
AMAT,-3.2904,1.0467,40.5478,40.9387
APP,-17.8115,-10.6789,29.7407,49.3819
INTU,-1.2372,-2.4498,-7.7976,-1.9302
QCOM,-2.5587,2.2820,7.6041,11.7847
MUFG,1.1506,2.5667,1.1506,11.4048
NEE,0.7550,1.0411,12.4957,21.2845
SONY,3.5574,0.2249,2.5673,16.3720
C,-3.8083,1.1714,4.7654,34.6404
VZ,3.1995,1.4180,-6.9160,-2.8381
HDB,2.2595,0.3947,-1.4561,2.4118
NOW,-3.8423,-7.8116,-6.0631,-17.9102
BX,-4.5114,-11.0659,-16.9030,1.7225
BLK,-6.0325,-12.3876,-9.4240,5.6234
INTC,-10.2081,-6.7144,36.4085,66.8681
SCHW,-3.4826,-2.0063,-3.6641,5.6309
TJX,-0.7742,1.2125,8.1445,11.4607
APH,-8.4462,4.8150,19.9151,54.1791
SAN,-2.3944,6.3971,9.1912,31.2500
ANET,-8.3200,-12.0615,-5.2267,36.1463
DHR,4.4727,5.5271,4.1493,18.4928
BKNG,-2.6901,-4.8324,-13.4446,-8.5324
GEV,-1.2409,-4.5261,-5.0215,26.5022
GILD,5.7723,1.7588,6.6603,17.6489
BSX,1.0009,2.7005,-1.7639,-2.5994
ACN,-1.3126,1.2375,-5.6824,-23.6601
SPGI,-1.0707,3.2466,-11.7284,-3.9107
KLAC,-7.6998,1.5822,28.3182,44.6346
ARM,-10.2977,-16.1313,3.6453,6.4738
UL,-2.4667,-5.2176,-3.4587,-4.9192
BA,-1.9404,-10.2893,-15.0978,-5.9938
PFE,3.5515,4.8589,1.5044,13.4740
TTE,3.3847,5.6340,6.1055,14.1840
TXN,-3.6088,-11.5604,-20.2988,-15.1681
BHP,-2.4062,-1.9322,1.5194,10.4903
TD,0.2835,2.7529,10.9944,26.9235
SYK,1.3070,-3.9421,-7.5554,-4.8717
PANW,-6.4053,-2.5109,11.6270,11.8118
ADBE,-0.7313,-2.0450,-9.5795,-21.1543
WELL,2.8944,12.7178,20.6564,33.6687
CRWD,-5.3468,8.8868,26.0678,21.3875
ETN,-10.1575,-8.6485,-2.2880,6.1050
PGR,2.9973,-0.6915,-10.5726,-20.2036
UNP,-1.1368,-2.0815,-0.4704,0.1998
SPOT,2.1985,-5.1964,-11.5000,-0.9914
DE,0.6977,4.1876,-2.0578,-6.5624
COF,-8.8900,-5.0014,-6.4533,8.0399
LOW,-3.0297,-7.2002,-11.4210,0.4041
SNY,2.8425,2.9237,3.8055,-1.5123
MDT,4.5705,1.1641,8.5985,16.6225
HON,0.3065,2.8123,-3.7243,-5.4608
BUD,-1.6672,0.2475,0.0864,-9.4567
UBS,-0.5985,-0.7534,-3.4378,19.4870
BBVA,-1.9194,5.7486,9.3238,34.9967
RIO,0.1992,3.5431,16.2403,16.3886
PLD,-1.4972,-0.8462,12.0685,19.7210
BTI,-1.3353,5.9279,-3.4737,26.7462
CB,2.6383,10.3072,8.0552,2.2142
ADI,-1.0453,-5.4741,0.0186,4.1906
SMFG,4.7662,9.6252,3.8207,15.7277
IBN,2.6524,-5.4189,-5.2464,-7.1228
VRTX,3.0294,4.1146,11.0554,-0.3124
COP,0.4420,2.4746,-5.4821,2.5256
HCA,3.4240,11.4667,18.1743,24.8792
LMT,3.3378,-5.6468,6.6875,0.7570
MCK,-0.6889,8.5814,26.2310,19.0036
CEG,-6.7409,-12.9107,6.1043,17.3786
ENB,-0.4069,1.3700,1.1337,6.2350
PH,-2.2162,12.2940,10.9516,24.7748
MELI,-1.9300,1.3177,-12.4321,-21.1496
SCCO,-8.3680,-1.5349,35.6154,43.1456
KKR,-4.5458,-2.5085,-17.4883,-2.5146
ADP,-1.0332,-10.6072,-17.3293,-21.2709
HOOD,-16.7427,-12.9166,5.2372,77.1531
CME,1.1324,4.6578,3.7833,0.4655
SOMN,0.0798,,,
SO,-0.3746,-7.5460,-3.9924,1.6472
CVS,1.0833,-4.2405,11.3439,28.6147
CMCSA,0.6453,-7.5999,-18.6051,-20.6907
BN,-7.5613,-4.1723,-0.7428,12.5347
MO,0.8688,-10.7610,-11.3760,0.9446
DUK,2.3134,-2.1444,1.6108,8.9498
BMY,-0.1483,8.1593,-1.0375,3.1264
SBUX,-0.2657,-1.1537,-7.2086,2.3522
GSK,1.4489,9.4197,21.2675,26.0409
NEM,-1.9630,-4.6739,28.8443,65.6947
BP,-0.3343,11.6689,9.3907,29.9745
NKE,3.2035,-6.8611,-17.9581,5.8569
GD,-2.1217,3.2991,8.5899,24.3576
TT,-4.9579,-0.9169,-3.6948,-2.5914
DASH,2.1683,-20.7386,-16.0506,1.8240
NTES,-1.3078,-6.5684,8.3711,16.0054
MMC,1.7657,-4.3911,-13.6779,-20.1504
BMO,-2.5289,-2.1934,7.9901,19.4325
MMM,-0.7772,8.9929,8.2905,12.4191
SE,-6.4108,-9.3402,-19.0460,-11.1172
ICE,0.4548,-2.2266,-15.5216,-13.5735
SNOW,-6.3722,4.4280,30.5093,40.3528
MFG,0.5961,8.3467,4.3277,23.4004
AMT,0.5091,-5.5701,-11.8184,-14.0684
CDNS,-5.5512,-4.7345,-10.4359,-2.1634
MCO,-2.6148,0.2569,-7.7637,0.0683
ORLY,1.4985,-1.9980,-3.3864,8.9793
WM,3.8809,-3.3553,-8.5159,-10.4023
BNS,-0.0372,5.4196,18.6110,32.3095
BAM,-7.7275,-8.9022,-17.1245,-12.5177
PBR,0.4996,12.3282,12.6882,15.2063
PBR.A,0.8592,12.3519,12.9698,13.1841
AEM,-1.9414,-5.6336,26.7896,43.2837
DELL,-15.2709,-18.8912,-10.2584,8.8418
CM,1.2020,8.0085,18.6158,31.1418
SHW,-3.9799,-0.5512,-10.6034,-6.8686
HWM,-4.8155,5.3124,16.2051,22.8119
UPS,1.1353,8.9185,7.1942,0.0458
NOC,-0.7656,-6.0269,-4.3267,18.9177
ITUB,-0.8637,9.1939,15.0460,16.2534
NGG,0.4914,0.9877,9.4815,8.7056
EQIX,-6.3837,-4.7504,0.8449,-9.2122
MAR,-2.8927,8.1340,5.9999,8.7556
NU,-2.7953,3.8147,18.6905,29.8766
TDG,3.5480,5.4318,2.0483,1.3091
AON,1.1222,0.6174,-6.4689,-2.3985
BCS,-4.5430,9.5093,5.3728,21.6514
BK,-3.2714,1.7733,6.7069,21.9733
ING,-4.0084,5.0957,2.3289,17.8405
CTAS,-0.4066,-1.9156,-14.7545,-16.3661
RELX,-3.7473,-10.5571,-15.3484,-26.1853
ELV,9.2699,-4.8255,6.9716,-16.2195
CRH,-4.3429,-7.1769,-3.0327,15.1195
WMB,-1.5677,-4.4989,6.3408,4.7157
RACE,-0.9796,2.0773,-13.6013,-17.8888
SNPS,-2.3742,-12.5961,-36.1519,-21.9768
REGN,7.9329,22.2524,23.5930,17.0575
CI,5.1480,-9.2959,-9.6948,-13.5466
ECL,-1.1719,-7.6676,-9.6999,-1.6009
APO,-5.2169,2.2327,-9.4762,-4.6941
MDLZ,-0.8178,-10.6788,-10.2474,-13.2215
EMR,-1.8067,-1.2674,-3.0006,10.3272
MRVL,-11.4931,-6.1796,14.5687,37.4767
JCI,-5.2702,6.6983,11.0982,19.8863
ABNB,-2.6539,-7.0685,-7.1349,-8.2418
LYG,-4.7475,5.2455,4.7778,13.9874
NET,-15.8525,-3.6236,2.9973,29.3125
USB,-4.5292,-0.5800,-0.6442,8.2293
COR,0.0642,12.3792,23.8112,25.4688
DB,-7.2958,4.4061,-3.5479,26.6830
MNST,2.9987,2.7200,12.7207,14.3106
CVNA,-0.1753,-3.6233,-6.5434,10.1424
INFY,0.0006,2.6338,0.9645,-6.4057
RBLX,-4.6460,-24.4169,-15.0617,23.7863
PNC,-3.1066,-0.0334,-6.2200,5.9722
COIN,-18.1895,-22.5939,-13.8941,0.4286
ITW,-1.1790,-3.1573,-7.9768,-0.1170
CNQ,4.2632,10.6996,13.7967,9.9722
AMX,-0.2377,2.8285,21.3722,33.3343
GLW,-8.8137,-4.4212,25.6725,69.2423
TEL,-5.9211,4.5340,15.0102,46.6486
EPD,1.1669,6.6602,2.5174,3.0776
SPG,-1.5060,1.1764,4.2615,16.8262
RCL,-7.3364,-18.2378,-25.3816,3.8854
AJG,3.4075,-7.4357,-13.5563,-22.7640
AEP,0.7425,5.8824,10.4594,21.8980
RSG,2.7974,-4.5446,-10.3882,-16.3692
AZO,3.9280,-3.8619,-6.1584,0.0498
CSX,-2.5199,-6.4617,-5.8822,13.1998
CL,0.7774,-0.0506,-7.2683,-12.6349
CP,-1.3944,-8.4956,-6.2466,-13.2144
TRV,1.0978,8.9615,6.6101,6.1497
GM,-4.4617,16.2727,19.2701,38.2870
NSC,-1.4569,-1.9603,-0.5010,19.2406
